City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
329,york,40.1254,-77.0,27.72,68,0,2.57,US,1690382032
330,mezhdurechensk,53.6942,88.0603,18.13,77,93,0.9,RU,1690382032
331,novokayakent,42.3937,47.9861,25.77,70,24,3.83,RU,1690382033
332,dalai,45.5,124.3,24.56,85,63,4.79,CN,1690382033
333,santa cruz,-17.8,-63.1667,19.03,55,75,6.69,BO,1690381864
334,stabat,3.761,98.4513,28.11,94,91,0.99,ID,1690382034
335,selcuk,37.9514,27.3685,42.67,17,0,3.93,TR,1690382034
336,kuanda,56.3161,116.0806,20.33,66,36,1.56,RU,1690382035
337,salym,60.0625,71.4789,17.39,92,97,2.77,RU,1690382035
338,holualoa,19.6228,-155.9522,23.91,87,100,3.09,US,1690382035
339,yung shue wan,22.2333,114.1167,33.68,78,89,2.13,HK,1690382036
340,bonthe,7.5264,-12.505,26.69,83,97,5.12,SL,1690382036
341,batticaloa,7.7102,81.6924,28.99,71,100,1.22,LK,1690382036
342,vila franca do campo,37.7167,-25.4333,23.23,67,59,0.9,PT,1690382036
343,portland,45.5234,-122.6762,16.82,80,20,2.57,US,1690382037
344,ciudad tecun uman,14.6667,-92.15,26.97,58,18,1.33,GT,1690382037
345,chinde,26.8418,88.0763,19.16,92,97,1.63,NP,1690382037
346,pariaman,-0.619,100.12,26.03,85,88,1.65,ID,1690382037
347,hami,42.8,93.45,33.02,12,0,3.82,CN,1690382037
348,anna regina,7.2644,-58.5077,29.53,66,8,4.08,GY,1690382038
349,kampong thom,12.7111,104.8887,26.49,80,100,1.86,KH,1690382038
350,acapulco de juarez,16.8634,-99.8901,28.9,70,75,2.06,MX,1690381869
351,aransas pass,27.9095,-97.15,32.79,83,0,2.68,US,1690381804
352,bharatpur,27.2167,77.4833,28.54,69,100,2.48,IN,1690382038
353,miquelon,47.0975,-56.3814,22.0,94,87,4.39,PM,1690382039
354,salzgitter,52.1526,10.3314,20.53,55,90,4.47,DE,1690382039
355,port shepstone,-30.7414,30.455,19.99,74,0,6.28,ZA,1690382039
356,edd,13.9297,41.6925,35.22,55,8,4.17,ER,1690382039
357,urangan,-25.3,152.9,18.39,74,9,5.81,AU,1690382040
358,pathalgaon,22.5667,83.4667,26.63,81,90,5.13,IN,1690382040
359,taoudenni,22.6783,-3.9836,47.98,5,0,4.95,ML,1690382040
360,borgo san lorenzo,43.9553,11.3835,29.63,62,92,0.81,IT,1690382040
361,jaru,-10.4389,-62.4664,33.0,31,1,1.89,BR,1690382040
362,praia da vitoria,38.7333,-27.0667,25.14,78,20,2.53,PT,1690382041
363,yelizovo,53.1873,158.3805,13.08,100,0,2.0,RU,1690382041
364,queenstown,-31.8976,26.8753,19.91,34,1,3.51,ZA,1690382041
365,hadibu,12.65,54.0333,25.55,74,31,9.21,YE,1690382041
366,remire-montjoly,4.9167,-52.2667,30.02,74,100,1.03,GF,1690382041
